Brand	Model	URL	Type	Nominal diameter [″]	Nominal diameter [mm]	SPL 1W [dB]	fs [Hz]	Qms	Qes	Qts	xmax [mm]	Power [W]	Pmax [W]	Z [Ω]	Re [Ω]	Le [mH]	Sd [cm²]	Mms [g]	Mmd [g]	Cms [µm/N]	Vas [L]	Rms [N·s/m]
Eighteen Sound	12NMB1000	loudspeakerdatabase.com/18Sound/12NMB1000	Mid Bass	12	300	98.3	54.0	8.40	0.19	0.19	3.5	600	1200	8	5.5	0.69	531.0	61	52.2	142	58	2.46
Eighteen Sound	12NMB420	loudspeakerdatabase.com/18Sound/12NMB420	Woofer	12	300	101.1	53.0	3.60	0.30	0.28	4.0	300	450	8	5.2	0.2	531.0	33.5	24.7	269	105	3.1
Eighteen Sound	12NTLW3500	loudspeakerdatabase.com/18Sound/12NTLW3500	Subwoofer	12	300	94.6	54.0	13.10	0.34	0.33	8.3	900	1800	4	3.1	0.29	531.0	85	76.4	102	41	2.2
Eighteen Sound	12NTLW3500 16Ω	loudspeakerdatabase.com/18Sound/12NTLW3500_16Ω	Subwoofer	12	300	93.5	57.0	11.70	0.56	0.54	7.9	900	1800	16	11.3	0.62	531.0	77	68.4	102	40	2.36
Eighteen Sound	12NTLW3500 8Ω	loudspeakerdatabase.com/18Sound/12NTLW3500_8Ω	Subwoofer	12	300	94.5	53.0	8.00	0.35	0.33	8.3	900	1800	8	5.1	0.46	531.0	80	71.4	113	45	3.33
Eighteen Sound	12NW350	loudspeakerdatabase.com/18Sound/12NW350	Subwoofer	12	310	94.7	54.0	12.00	0.35	0.34	8.3	800	1600	8	5.0	0.85	531.0	75	66.4	116	46	2.12
Eighteen Sound	12NW530	loudspeakerdatabase.com/18Sound/12NW530	Subwoofer	12	300	93.2	55.0	9.70	0.38	0.37	8.0	500	800	8	4.9	0.9	530.0	93	84.3	90	36	3.31
Eighteen Sound	12W1300	loudspeakerdatabase.com/18Sound/12W1300	Low frequency	12	300	94.9	50.0	4.15	0.28	0.26	7.5	700	1000	8	5.2	1.9	530.0	72	63.3	141	56	5.45
Eighteen Sound	12W500	loudspeakerdatabase.com/18Sound/12W500	Woofer	12	300	96.8	49.0	6.10	0.37	0.35	4.0	350	500	4	2.7	0.67	531.0	36.5	27.7	289	101	1.84
Eighteen Sound	12W500 8Ω	loudspeakerdatabase.com/18Sound/12W500_8Ω	Woofer	12	300	96.0	46.0	6.02	0.38	0.36	4.0	350	500	8	5.2	1.12	531.0	36.5	27.7	328	123	1.75
Eighteen Sound	12W600	loudspeakerdatabase.com/18Sound/12W600	Low frequency	12	300	95.6	50.0	5.87	0.32	0.30	6.5	450	600	8	5.5	1.85	531.0	55	46.2	183	73	2.94
Eighteen Sound	12W700	loudspeakerdatabase.com/18Sound/12W700	Subwoofer	12	300	96.2	58.0	3.93	0.37	0.36	6.5	450	700	8	5.7	1.48	531.0	51	42.2	148	55	4.73
Eighteen Sound	12W750	loudspeakerdatabase.com/18Sound/12W750	Subwoofer	12	300	96.5	55.0	5.00	0.28	0.27	7.0	600	1200	4	3.4	0.56	531.0	58	49.4	144	58	4.01
Eighteen Sound	12W750 16Ω	loudspeakerdatabase.com/18Sound/12W750_16Ω	Subwoofer	12	300	96.1	55.0	5.80	0.35	0.33	8.0	600	1200	16	10.4	1.2	531.0	55	46.4	152	61	3.28
Eighteen Sound	12W750 8Ω	loudspeakerdatabase.com/18Sound/12W750_8Ω	Subwoofer	12	300	96.0	49.0	7.00	0.30	0.28	8.0	600	1200	8	5.2	0.95	531.0	57	48.4	185	73	2.51
Eighteen Sound	15CX1000	loudspeakerdatabase.com/18Sound/15CX1000	Coaxial	15	380	97.4	48.0	6.00	0.32	0.31	6.0	850	1000	8	5.5	1.5	855.0	85	67.6	128	132.5	4.27
Eighteen Sound	15LW1401	loudspeakerdatabase.com/18Sound/15LW1401	Subwoofer	15	380	96.7	39.0	7.21	0.27	0.26	9.0	1000	1400	4	3.5	1.02	850.0	125	107.7	133	127	4.25
Eighteen Sound	15LW1401 8Ω	loudspeakerdatabase.com/18Sound/15LW1401_8Ω	Subwoofer	15	380	95.9	42.0	5.36	0.28	0.27	9.0	1000	1400	8	5.0	2.15	850.0	125	107.7	115	131	6.15
Eighteen Sound	15LW1500	loudspeakerdatabase.com/18Sound/15LW1500	Subwoofer	15	380	94.9	34.0	11.50	0.29	0.28	9.0	1000	1400	8	5.0	2.4	850.0	130	112.7	169	195	2.41
Eighteen Sound	15LW2400	loudspeakerdatabase.com/18Sound/15LW2400	Subwoofer	15	380	95.5	34.0	4.20	0.24	0.23	9.5	1200	2400	4	2.7	0.79	850.0	135	117.5	162	191	6.87
Eighteen Sound	15LW2400 8Ω	loudspeakerdatabase.com/18Sound/15LW2400_8Ω	Subwoofer	15	380	95.0	40.0	4.75	0.32	0.30	10.0	1200	2400	8	5.3	1.25	850.0	138	120.5	115	131	7.3
Eighteen Sound	15MB1000	loudspeakerdatabase.com/18Sound/15MB1000	Subwoofer	15	380	97.4	48.0	6.00	0.32	0.31	6.0	850	1200	8	5.5	1.5	850.0	85	67.7	129	132.5	4.27
Eighteen Sound	15MB606	loudspeakerdatabase.com/18Sound/15MB606	Subwoofer	15	380	97.2	43.0	6.20	0.37	0.35	4.5	400	600	8	5.0	1.3	850.0	63	45.7	217	223	2.75
Eighteen Sound	15MB650	loudspeakerdatabase.com/18Sound/15MB650	Subwoofer	15	380	98.1	40.0	3.95	0.27	0.26	4.0	400	600	8	5.5	1.36	900.0	77	58.7	206	210	4.9
Eighteen Sound	15MB700	loudspeakerdatabase.com/18Sound/15MB700	Mid Bass	15	380	97.5	42.0	4.60	0.31	0.29	5.5	400	600	8	5.0	1.2	850.0	73	55.7	197	202	4.19
Eighteen Sound	15NCX1000	loudspeakerdatabase.com/18Sound/15NCX1000	Coaxial	15	380	97.6	53.0	10.40	0.32	0.31	7.5	600	1200	8	6.3	1.4	881.0	110	91.8	82	75	3.52
Eighteen Sound	15NCX750	loudspeakerdatabase.com/18Sound/15NCX750	Coaxial	15	380	98.5	49.0	6.32	0.40	0.37	5.5	400	800	8	5.4	0.66	881.0	81	62.8	130	141	3.95
Eighteen Sound	15NCX750H	loudspeakerdatabase.com/18Sound/15NCX750H	Coaxial	15	380	98.6	49.0	6.32	0.40	0.37	5.5	400	800	8	5.4	0.66	881.0	80.6	62.4	131	141	3.93
Eighteen Sound	15NCX910	loudspeakerdatabase.com/18Sound/15NCX910	Coaxial	15	380	98.2	55.0	8.20	0.34	0.33	7.0	450	900	8	5.0	1.1	881.0	86	67.8	97	107	3.62
Eighteen Sound	15NCX910BE	loudspeakerdatabase.com/18Sound/15NCX910BE	Coaxial	15	380	98.2	55.0	8.20	0.34	0.33	7.0	450	900	8	5.0	1.1	881.0	86	67.8	97	107	3.62
Eighteen Sound	15NCX910N	loudspeakerdatabase.com/18Sound/15NCX910N	Coaxial	15	380	98.2	55.0	8.20	0.34	0.33	7.0	450	900	8	5.0	1.1	881.0	86	67.8	97	107	3.62
Eighteen Sound	15ND730	loudspeakerdatabase.com/18Sound/15ND730	Subwoofer	15	380	97.7	44.0	8.10	0.30	0.29	6.5	400	600	8	5.5	1.35	900.0	86	67.7	152	156	2.94
Eighteen Sound	15ND830	loudspeakerdatabase.com/18Sound/15ND830	Subwoofer	15	380	96.7	42.0	7.20	0.36	0.34	6.5	450	700	4	3.0	0.62	850.0	85	67.7	169	157	3.12
Eighteen Sound	15ND830 8Ω	loudspeakerdatabase.com/18Sound/15ND830_8Ω	Subwoofer	15	380	96.3	39.0	3.90	0.35	0.32	6.5	450	700	8	5.7	1.54	850.0	80	62.7	208	213	5.03
Eighteen Sound	15ND930	loudspeakerdatabase.com/18Sound/15ND930	Subwoofer	15	380	96.5	35.0	7.10	0.24	0.24	7.5	500	800	4	2.8	0.52	850.0	113	95.7	183	182	3.5
Eighteen Sound	15ND930 16Ω	loudspeakerdatabase.com/18Sound/15ND930_16Ω	Subwoofer	15	380	95.2	38.0	9.50	0.40	0.39	7.5	500	800	16	10.9	2.5	850.0	92	74.7	191	195	2.31
Eighteen Sound	15ND930 8Ω	loudspeakerdatabase.com/18Sound/15ND930_8Ω	Subwoofer	15	380	97.1	36.0	5.30	0.23	0.22	7.5	500	800	8	5.5	1.61	850.0	101	83.7	194	206	4.31
Eighteen Sound	15NLW4500	loudspeakerdatabase.com/18Sound/15NLW4500	Subwoofer	15	393	94.8	35.0	6.38	0.21	0.20	14.5	1500	3000	4	3.0	1.1	881.0	198	179.8	104	126	6.82
Eighteen Sound	15NLW4500 8Ω	loudspeakerdatabase.com/18Sound/15NLW4500_8Ω	Subwoofer	15	393	93.9	35.0	7.80	0.27	0.26	14.5	1500	3000	8	5.4	1.62	881.0	201	182.8	103	111	5.67
Eighteen Sound	15NLW9300	loudspeakerdatabase.com/18Sound/15NLW9300	Subwoofer	15	380	97.0	39.0	6.70	0.27	0.26	8.0	800	1200	8	6.0	0.95	850.0	107	89.7	156	170	3.91
Eighteen Sound	15NLW9401	loudspeakerdatabase.com/18Sound/15NLW9401	Subwoofer	15	380	95.3	40.0	6.14	0.26	0.25	10.0	1200	2400	4	2.8	1.23	850.0	150	132.5	106	114	6.14
