Brand	Model	URL	Type	Nominal diameter [″]	Nominal diameter [mm]	SPL 1W [dB]	fs [Hz]	Qms	Qes	Qts	xmax [mm]	Power [W]	Pmax [W]	Z [Ω]	Re [Ω]	Le [mH]	Sd [cm²]	Mms [g]	Mmd [g]	Cms [µm/N]	Vas [L]	Rms [N·s/m]
RCF	LF18N401	loudspeakerdatabase.com/RCF/LF18N401	Subwoofer	18	457	95.9	32.0	6.50	0.27	0.26	9.0	1200	2400	8	5.1	2.5	1200.0	201	171.7	122	257	6.22
RCF	LF18N405	loudspeakerdatabase.com/RCF/LF18N405	Subwoofer	18	457	93.7	30.0	7.00	0.34	0.32	14.0	1500	3000	8	4.9	1.7	1200.0	261	231.7	109	227	7.03
RCF	LF18N408	loudspeakerdatabase.com/RCF/LF18N408	Subwoofer	18	457	93.4	30.0	3.60	0.36	0.33	15.0	1500	3000	8	4.3	1.56	1220.0	284	254.2	96	193	14.87
RCF	LF18N451	loudspeakerdatabase.com/RCF/LF18N451	Subwoofer	18	457	95.4	31.0	6.00	0.25	0.24	9.0	1500	3000	8	5.0	2.6	1200.0	235	205.7	113	245	7.63
RCF	LF18X401	loudspeakerdatabase.com/RCF/LF18X401	Subwoofer	18	457	95.3	30.0	7.40	0.31	0.30	12.0	1500	3000	8	5.4	0.83	1200.0	215	185.7	132	274	5.48
RCF	LF18X451	loudspeakerdatabase.com/RCF/LF18X451	Subwoofer	18	457	94.6	30.0	6.70	0.29	0.28	14.0	1800	3600	8	5.4	1.38	1200.0	260	230.7	106	220	7.31
RCF	LF18Y402	loudspeakerdatabase.com/RCF/LF18Y402	Subwoofer	18	457	94.8	30.0	7.40	0.31	0.30	12.0	1200	2400	8	5.4	2.5	1200.0	215	185.7	132	274	5.48
RCF	LF18Y408	loudspeakerdatabase.com/RCF/LF18Y408	Subwoofer	18	457	95.9	31.6	6.50	0.27	0.26	9.0	1200	2400	8	5.1	2.5	1200.0	201	171.7	126	257	6.14
RCF	LF18Y488	loudspeakerdatabase.com/RCF/LF18Y488	Subwoofer	18	457	95.9	32.6	7.60	0.30	0.29	9.0	900	1800	8	4.8	2.4	1200.0	182	152.7	131	268	4.9
RCF	LF21N401	loudspeakerdatabase.com/RCF/LF21N401	Subwoofer	21	533	95.2	30.0	6.80	0.40	0.37	11.0	1500	3000	8	5.0	1.7	1730.0	318	268.3	87	374	8.81
RCF	LF21N451	loudspeakerdatabase.com/RCF/LF21N451	Subwoofer	21	533	96.4	30.0	6.10	0.27	0.26	13.0	1500	3000	8	5.6	3.0	1700.0	315	266.1	92	375	9.73
RCF	LF21X451	loudspeakerdatabase.com/RCF/LF21X451	Subwoofer	21	533	94.7	28.0	6.90	0.39	0.37	14.0	2000	4000	8	5.4	2.9	1700.0	355	306.1	85	385	9.05
RCF	LN16S400	loudspeakerdatabase.com/RCF/LN16S400	Subwoofer	16	406	93.5	35.0	3.80	0.24	0.23	18.0	1500	3000	8	4.7	3.0	990.0	270	248.4	87	127	15.63
RCF	LN19S400	loudspeakerdatabase.com/RCF/LN19S400	Subwoofer	19	483	94.9	32.0	4.00	0.22	0.21	18.0	1500	3000	8	4.7	3.4	1320.0	296	262.7	104	204	14.88
RCF	LN19S450	loudspeakerdatabase.com/RCF/LN19S450	Subwoofer	19	483	94.9	29.0	4.00	0.27	0.25	18.0	1700	3400	8	4.7	4.4	1320.0	355	321.7	66	145	16.17
RCF	M15P550	loudspeakerdatabase.com/RCF/M15P550	Woofer	15	381	98.1	45.0	4.00	0.41	0.37	7.0	500	1000	8	5.3	0.57	850.0	89	71.7	117	140	6.29
RCF	MB10G251	loudspeakerdatabase.com/RCF/MB10G251	Woofer	10	254	97.2	76.0	8.00	0.35	0.34	7.0	300	600	8	5.2	0.5	400.0	33	27.5	140	24	1.97
RCF	MB10G253	loudspeakerdatabase.com/RCF/MB10G253	Woofer	10	254	96.5	76.0	8.00	0.35	0.34	7.0	300	600	8	5.2	1.05	400.0	33	27.5	140	24	1.97
RCF	MB10G350	loudspeakerdatabase.com/RCF/MB10G350	Woofer	10	254	95.7	58.0	8.20	0.32	0.31	7.0	300	600	8	5.1	0.73	400.0	37	31.5	202	34	1.64
RCF	MB10N251	loudspeakerdatabase.com/RCF/MB10N251	Woofer	10	254	95.9	55.0	4.20	0.29	0.27	5.0	300	600	8	5.1	1.3	400.0	36	30.5	220	39	2.96
RCF	MB10N305	loudspeakerdatabase.com/RCF/MB10N305	Woofer	10	254	97.2	60.0	4.00	0.24	0.23	5.0	500	1000	8	5.6	0.9	400.0	37	31.5	181	31	3.49
RCF	MB10Y308	loudspeakerdatabase.com/RCF/MB10Y308	Woofer	10	254	97.2	60.0	4.00	0.24	0.23	5.0	500	1000	8	5.6	0.9	400.0	37	31.5	181	31	3.49
RCF	MB12G301	loudspeakerdatabase.com/RCF/MB12G301	Woofer	12	305	96.6	53.0	4.70	0.28	0.27	6.0	400	800	8	5.4	0.7	500.0	48	39.7	200	72	3.4
RCF	MB12N301	loudspeakerdatabase.com/RCF/MB12N301	Woofer	12	305	96.6	54.0	3.10	0.26	0.24	6.0	500	1000	8	5.8	1.8	500.0	48	39.7	182	71	5.25
RCF	MB12N351	loudspeakerdatabase.com/RCF/MB12N351	Woofer	12	305	97.4	55.0	4.50	0.21	0.20	6.0	650	1300	8	5.6	1.65	500.0	54	45.7	152	61	4.15
RCF	MB12N405	loudspeakerdatabase.com/RCF/MB12N405	Woofer	12	305	96.0	52.0	6.00	0.21	0.20	7.0	1000	2000	8	5.0	1.2	500.0	73	64.7	132	53	3.98
RCF	MB12X351	loudspeakerdatabase.com/RCF/MB12X351	Woofer	12	305	95.5	55.0	5.90	0.27	0.26	7.0	700	1400	8	5.4	0.9	500.0	72	63.7	114	46	4.22
RCF	MB12Y358	loudspeakerdatabase.com/RCF/MB12Y358	Woofer	12	305	97.4	55.0	4.50	0.21	0.20	6.0	650	1300	8	5.6	1.65	500.0	54	45.7	152	61	4.15
RCF	MB12Y800	loudspeakerdatabase.com/RCF/MB12Y800	Woofer	12	305	95.4	55.0	5.90	0.27	0.26	6.0	700	1400	8	5.4	1.3	500.0	72	63.7	114	46	4.22
RCF	MB12Y901	loudspeakerdatabase.com/RCF/MB12Y901	Woofer	12	305	95.4	55.0	5.90	0.27	0.26	6.0	700	1400	8	5.4	1.3	500.0	72	63.7	114	46	4.22
RCF	MB15N301	loudspeakerdatabase.com/RCF/MB15N301	Woofer	15	381	97.1	48.0	4.60	0.39	0.37	6.0	500	1000	8	5.8	0.9	900.0	90	71.6	134	134	5.9
RCF	MB15N351	loudspeakerdatabase.com/RCF/MB15N351	Woofer	15	381	98.6	42.0	4.00	0.24	0.22	6.0	650	1300	8	5.6	1.65	900.0	80	61.4	175	191	5.28
RCF	MB15N405	loudspeakerdatabase.com/RCF/MB15N405	Woofer	15	381	97.9	46.0	4.80	0.28	0.27	7.0	1100	2200	8	5.5	1.1	900.0	98	79.4	123	124	5.9
RCF	MB15X351	loudspeakerdatabase.com/RCF/MB15X351	Woofer	15	381	97.4	46.0	6.70	0.33	0.31	7.0	700	1400	8	5.4	0.9	900.0	106	87.4	109	114	4.57
RCF	MB15Y358	loudspeakerdatabase.com/RCF/MB15Y358	Woofer	15	381	98.6	43.7	4.00	0.24	0.22	6.0	650	1300	8	5.6	1.65	900.0	80	61.4	166	191	5.49
RCF	MB8N251	loudspeakerdatabase.com/RCF/MB8N251	Woofer	8	203	92.9	68.0	4.60	0.26	0.25	5.0	300	600	8	5.1	1.3	200.0	27	24.9	199	13	2.51
Radian	2215B	loudspeakerdatabase.com/Radian/2215B	Woofer	15	380	96.8	40.0	3.80	0.32	0.30	6.0	800	1600	8	5.6	1.26	881.0	88	70.1	180	200	5.82
Radian	2216	loudspeakerdatabase.com/Radian/2216	Subwoofer	15	387	95.1	38.7	2.95	0.43	0.37	4.75	750	1500	8	6.2		831.6	90.4	73.5	187	183.888	7.45
Radian	2216Neo	loudspeakerdatabase.com/Radian/2216Neo	Subwoofer	15	380	96.6	40.0	3.30	0.20	0.19	9.0	800	1600	8	5.4	0.93	880.0	165	147.1	100	114	12.57
Radian	2218	loudspeakerdatabase.com/Radian/2218	Subwoofer	18	465	91.3	33.8	3.16	0.63	0.52	4.75	750	1500	8	6.3		1296.8	335.9	304.2	66	158.6	22.58
Radian	2218Neo	loudspeakerdatabase.com/Radian/2218Neo	Subwoofer	18	460	95.9	30.0	3.20	0.25	0.23	9.0	800	1600	8	5.4	1.12	1320.0	266	233.8	120	312	15.67
Radian	5208C	loudspeakerdatabase.com/Radian/5208C	Coaxial	8	205	92.4	90.0	6.80	0.66	0.61	3.5	250	500	8	5.9	0.7	221.0	19.9	17.5	155	10.8	1.65
Radian	5210	loudspeakerdatabase.com/Radian/5210	Coaxial	10	267	92.2	67.0	9.72	0.45	0.43	4.65	375	750	8	5.0		295.1	41.8	37.8	135	16.728	1.81
Radian	5212B	loudspeakerdatabase.com/Radian/5212B	Coaxial	12	305	95.6	62.0	9.20	0.44	0.42	5.6	375	750	8	6.0	1.4	500.0	45.5	37.3	150	58.4	1.93
Radian	5215B	loudspeakerdatabase.com/Radian/5215B	Coaxial	15	380	97.1	40.0	3.28	0.29	0.26	5.5	625	1250	8	5.3	1.3	880.0	88	70	184	202	6.74
Radian	5215Neo	loudspeakerdatabase.com/Radian/5215Neo	Coaxial	15	380	97.0	44.0	3.21	0.25	0.23	5.5	700	1400	5	6.3	1.4	880.0	82	64	159	175	7.06
Radian	5312	loudspeakerdatabase.com/Radian/5312	Coaxial	12	308	94.2	54.0	2.61	0.42	0.37	2.87	615	1230	8	6.0		820.8	149.8	137.3	58	55.444	19.45
Radian	5312Neo	loudspeakerdatabase.com/Radian/5312Neo	Coaxial	12	381	94.6	51.0	2.40	0.22	0.20	4.47	700	1400	8	5.9		445.1	77.3	70.2	126	35.48	10.3
Reckhorn	D-165i	loudspeakerdatabase.com/Reckhorn/D-165i	Subwoofer	6.5	160	83.0	28.0	5.69	0.32	0.30		80	160	4	3.6	1.2	132.0	43	41.8	688	17	1.33
Reckhorn	D-200	loudspeakerdatabase.com/Reckhorn/D-200	Subwoofer	8	200	85.8	29.3	5.51	0.32	0.30	8.0	100	200	4	3.7	2.0	214.0	59	56.6	500	32	1.97
Reckhorn	D-250	loudspeakerdatabase.com/Reckhorn/D-250	Subwoofer	10	250	86.1	22.0	4.26	0.36	0.33	13.0			4	3.8	2.32	330.0	88	83.6	600	91	2.85
Rockford Fosgate	P1S2-10	loudspeakerdatabase.com/RockfordFosgate/P1S2-10	Subwoofer	10	254	83.1	30.0	2.70	0.75	0.52	9.0	250	500	2	1.6	1.16	370.0	154.6	149.7	182	35.4	10.79
Rockford Fosgate	P1S2-12	loudspeakerdatabase.com/RockfordFosgate/P1S2-12	Subwoofer	12	305	84.2	25.0	3.39	0.84	0.55	9.0	250	500	2	1.8	1.17	548.0	195.8	187	207	88.3	9.07
Rockford Fosgate	P1S2-15	loudspeakerdatabase.com/RockfordFosgate/P1S2-15	Subwoofer	15	381	86.5	23.0	3.46	0.80	0.55	9.0	250	500	2	1.8	1.12	876.0	272.1	254.5	176	191.5	11.36
Rockford Fosgate	P1S4-10	loudspeakerdatabase.com/RockfordFosgate/P1S4-10	Subwoofer	10	254	84.4	30.0	3.00	0.61	0.52	9.0	250	500	4	3.6	2.81	370.0	136.6	131.7	206	40	8.58
Rockford Fosgate	P2D2-10	loudspeakerdatabase.com/RockfordFosgate/P2D2-10	Subwoofer	10	254	84.4	29.0	7.00	0.54	0.50	11.0	300	600	2	3.2	3.32	360.0	156.1	151.3	193	35.4	4.06
Rockford Fosgate	P2D2-12	loudspeakerdatabase.com/RockfordFosgate/P2D2-12	Subwoofer	12	305	86.3	26.0	6.50	0.56	0.52	13.3	400	800	2	3.3	3.7	570.0	211.7	202.6	177	81.5	5.32
Rockford Fosgate	P2D2-15	loudspeakerdatabase.com/RockfordFosgate/P2D2-15	Subwoofer	15	381	86.2	20.0	6.40	0.69	0.62	13.3	400	800	2	3.3	3.4	894.0	326.4	308.5	194	219.6	6.41
Rockford Fosgate	P2D2-8	loudspeakerdatabase.com/RockfordFosgate/P2D2-8	Subwoofer	8	203	83.1	39.6	5.40	0.51	0.46	7.8	250	500	2	3.4	2.9	221.0	113	110.7	143	9.9	5.21
Rockford Fosgate	P2D4-12	loudspeakerdatabase.com/RockfordFosgate/P2D4-12	Subwoofer	12	305	86.6	27.2	6.30	0.59	0.54	13.3	400	800	4	6.4	5.5	570.0	193.4	184.3	177	81.5	5.25
Rockford Fosgate	P3D2-10	loudspeakerdatabase.com/RockfordFosgate/P3D2-10	Subwoofer	10	254	82.2	26.6	6.00	0.54	0.49	15.2	500	1000	2	3.2	4.5	360.0	243.5	238.7	147	27	6.78
Rockford Fosgate	P3D2-12	loudspeakerdatabase.com/RockfordFosgate/P3D2-12	Subwoofer	12	305	85.4	26.5	6.70	0.53	0.49	15.2	600	1200	2	3.2	4.25	570.0	288.6	279.5	125	57.7	7.17
Rockford Fosgate	P3D4-10	loudspeakerdatabase.com/RockfordFosgate/P3D4-10	Subwoofer	10	254	82.1	28.0	5.00	0.63	0.56	15.9	500	1000	4	6.4	7.0	360.0	219.8	215	147	27	7.73
Rockford Fosgate	P3D4-12	loudspeakerdatabase.com/RockfordFosgate/P3D4-12	Subwoofer	12	305	85.6	27.7	5.60	0.57	0.52	15.9	600	1200	4	6.4	6.94	570.0	264.1	255	125	57.7	8.21
Rockford Fosgate	P3D4-15	loudspeakerdatabase.com/RockfordFosgate/P3D4-15	Subwoofer	15	381	86.4	22.4	4.90	0.64	0.57	15.9	600	1200	4	6.4	6.45	894.0	368.5	350.6	137	155.8	10.58
Rockford Fosgate	P3SD2-10	loudspeakerdatabase.com/RockfordFosgate/P3SD2-10	Shallow Subwoofer	10	254	83.8	40.0	6.20	0.71	0.64	8.4	300	600	2	3.4	2.8	333.0	174	169.6	91	14.3	7.05
Rockford Fosgate	PM210S4	loudspeakerdatabase.com/RockfordFosgate/PM210S4	Subwoofer	10	254	86.4	45.0	9.00	0.64	0.57	10.0			4	3.6	0.3	346.0	105.1	100.5	119	20.2	3.3
Rockford Fosgate	PM210S4B	loudspeakerdatabase.com/RockfordFosgate/PM210S4B	Subwoofer	10	254	86.6	45.0	9.00	0.61	0.57	10.0	250	500	4	3.6	0.3	346.0	105.1	100.5	119	20.2	3.3
Rockford Fosgate	PM210S4X	loudspeakerdatabase.com/RockfordFosgate/PM210S4X	Subwoofer	10	254	86.4	45.0	9.00	0.64	0.57	10.0	250	500	4	3.6	0.3	346.0	105.1	100.5	119	20.2	3.3
Rockford Fosgate	PM212S4	loudspeakerdatabase.com/RockfordFosgate/PM212S4	Subwoofer	12	305	83.1	25.5	9.00	0.55	0.52	12.0	300	600	4	3.1	0.3	510.0	324.6	316.4	120	44.3	5.78
Rockford Fosgate	PM212S4X	loudspeakerdatabase.com/RockfordFosgate/PM212S4X	Subwoofer	12	305	83.1	25.5	9.00	0.55	0.52	12.0	300	600	4	3.1	0.3	510.0	324.6	316.4	120	44.3	5.78
Rockford Fosgate	R1S4-10	loudspeakerdatabase.com/RockfordFosgate/R1S4-10	Subwoofer	10	257	85.8	33.5	8.55	0.62	0.58	7.0	200	400	4	3.5	2.0	336.5	95.2	90.7	237	38.1	2.34
Rockford Fosgate	R1S4-12	loudspeakerdatabase.com/RockfordFosgate/R1S4-12	Subwoofer	12	319	88.4	30.5	7.97	0.58	0.54	7.0	200	400	4	3.5	2.1	530.9	120.5	111.7	226	90.4	2.9
Rockford Fosgate	R2D2-10	loudspeakerdatabase.com/RockfordFosgate/R2D2-10	Subwoofer	10	254	87.3	34.6	6.93	0.50	0.47	6.5	250	500	2	3.8	3.9	339.8	88.9	84.4	238	39	2.79
Rockford Fosgate	R2D2-12	loudspeakerdatabase.com/RockfordFosgate/R2D2-12	Subwoofer	12	305	88.9	34.6	8.29	0.62	0.58	6.5	250	500	2	3.8	3.9	539.1	131.4	122.8	161	66.4	3.45
Rockford Fosgate	R2D4-12	loudspeakerdatabase.com/RockfordFosgate/R2D4-12	Subwoofer	12	305	88.5	34.9	7.33	0.66	0.60	6.5	250	500	4	7.2	3.9	539.1	124.5	115.9	167	68.8	3.72
Rockford Fosgate	R2SD2-10	loudspeakerdatabase.com/RockfordFosgate/R2SD2-10	Shallow Subwoofer	10	254	84.9	38.1	8.00	0.74	0.68	8.0	200	400	2	3.8	4.2	333.0	134.2	129.8	130	20.4	4.02
Rockford Fosgate	RM110D2	loudspeakerdatabase.com/RockfordFosgate/RM110D2	Subwoofer	10	254	87.7	33.5	8.18	0.50	0.47	7.0	200	400	2	3.7	2.18	394.0	99	93.7	228	50.2	2.55
Rockford Fosgate	RM110D2B	loudspeakerdatabase.com/RockfordFosgate/RM110D2B	Subwoofer	10	254	87.7	33.5	8.18	0.50	0.47	7.0	200	400	2	3.7	2.17	394.0	99	93.7	228	50.2	2.55
Rockford Fosgate	RM110D4	loudspeakerdatabase.com/RockfordFosgate/RM110D4	Subwoofer	10	254	87.9	35.0	7.95	0.55	0.51	7.0	200	400	4	7.5	3.48	394.0	90.7	85.4	228	50.2	2.51
Rockford Fosgate	RM110D4B	loudspeakerdatabase.com/RockfordFosgate/RM110D4B	Subwoofer	10	254	87.9	35.0	7.95	0.54	0.51	7.0	200	400	4	7.5	3.47	394.0	90.7	85.4	228	50.2	2.51
Rockford Fosgate	RM112D2	loudspeakerdatabase.com/RockfordFosgate/RM112D2	Subwoofer	12	305	88.0	28.5	10.06	0.62	0.58	7.0	200	400	2	3.7	2.16	585.0	140.5	131.1	222	107.7	2.5
Rockford Fosgate	RM112D4	loudspeakerdatabase.com/RockfordFosgate/RM112D4	Subwoofer	12	305	90.7	28.5	10.06	0.62	0.58	7.0	200	400	4	7.4	7.02	585.0	140.5	131.1	222	107.7	2.5
Rockford Fosgate	RM18D2	loudspeakerdatabase.com/RockfordFosgate/RM18D2	Subwoofer	8	203	84.1	40.0	9.85	0.83	0.76	7.0	150	300	2	3.1	1.61	277.0	96.5	93.6	164	17.9	2.46
Rockford Fosgate	RM18D4	loudspeakerdatabase.com/RockfordFosgate/RM18D4	Subwoofer	8	203	84.5	41.5	8.48	0.89	0.81	7.0	150	300	4	6.3	2.48	277.0	84	81.1	175	19	2.58
Rockford Fosgate	T0D215	loudspeakerdatabase.com/RockfordFosgate/T0D215	Subwoofer	15	381	87.4	25.5	6.50	0.47	0.44	14.0	800	1600	2	3.4	5.1	845.0	418.9	402	93	94.4	10.33
Rockford Fosgate	T1D210	loudspeakerdatabase.com/RockfordFosgate/T1D210	Subwoofer	10	254	82.5	34.5	6.00	0.59	0.54	16.0	600	1200	2	3.3	1.8	345.0	233.9	229.3	91	15.4	8.45
Rockford Fosgate	T1D212	loudspeakerdatabase.com/RockfordFosgate/T1D212	Subwoofer	12	305	85.2	28.0	4.50	0.59	0.52	16.0	800	1600	2	3.3	1.8	548.0	246.6	237.8	131	55.8	9.64
Rockford Fosgate	T1D215	loudspeakerdatabase.com/RockfordFosgate/T1D215	Subwoofer	15	381	87.9	26.3	6.50	0.46	0.43	16.4	1000	2000	2	3.3	1.6	845.0	362.6	345.7	101	102	9.22
Rockford Fosgate	T1D415	loudspeakerdatabase.com/RockfordFosgate/T1D415	Subwoofer	15	381	87.5	27.0	6.00	0.55	0.51	16.4	1000	2000	4	6.5	3.6	845.0	344	327.1	101	102	9.73
Rockford Fosgate	T1S1-10	loudspeakerdatabase.com/RockfordFosgate/T1S1-10	Shallow Subwoofer	10	254	82.8	42.0	9.43	1.05	0.95	15.0	500	1000	1	0.9	0.28	356.0	196.7	192	73	13.1	5.5
Rockford Fosgate	T1S1-12	loudspeakerdatabase.com/RockfordFosgate/T1S1-12	Shallow Subwoofer	12	305	85.0	37.0	11.22	1.17	1.06	15.0	600	1200	1	1.7	0.31	560.0	253.5	244.5	73	32.4	5.25
Rockford Fosgate	T1S2-10	loudspeakerdatabase.com/RockfordFosgate/T1S2-10	Shallow Subwoofer	10	254	83.2	43.5	9.21	1.17	1.04	15.0	500	1000	2	1.6	0.42	356.0	183.4	178.7	73	13.1	5.44
Rockford Fosgate	T2S1-13	loudspeakerdatabase.com/RockfordFosgate/T2S1-13	Subwoofer	13	330	86.1	25.0	2.93	0.39	0.34	34.0	2000	4000	1	0.9	0.53	707.0	413.6	401.3	98	69.3	22.17
Rockford Fosgate	T2S1-16	loudspeakerdatabase.com/RockfordFosgate/T2S1-16	Subwoofer	16	406	87.2	28.5	3.73	0.57	0.49	34.0	2500	5000	1	0.9	0.53	1034.0	556.9	534.8	56	84.5	26.74
Rockford Fosgate	T2S2-13	loudspeakerdatabase.com/RockfordFosgate/T2S2-13	Subwoofer	13	330	86.2	25.5	3.01	0.40	0.35	34.0	2000	4000	2	1.6	0.91	707.0	401.6	389.3	97	68.7	21.38
Rockford Fosgate	T2S2-16	loudspeakerdatabase.com/RockfordFosgate/T2S2-16	Subwoofer	16	406	87.5	28.5	3.76	0.56	0.49	34.0	2500	5000	2	1.6	0.91	1034.0	528.6	506.5	59	90.1	25.17
Rockford Fosgate	T3-BMW-SUB	loudspeakerdatabase.com/RockfordFosgate/T3-BMW-SUB	Subwoofer	8	203	87.0	38.0	2.26	0.63	0.49	7.0	150	300	4	3.7	0.61	243.0	36.2	33.6	485	40.6	3.82
Rockford Fosgate	T3S1-19	loudspeakerdatabase.com/RockfordFosgate/T3S1-19	Subwoofer	19	483	88.8	27.0	1.93	0.38	0.32	34.0	3000	6000	1	0.8	0.45	1472.0	1022	984.6	34	104.9	89.83
Rockford Fosgate	T3S2-19	loudspeakerdatabase.com/RockfordFosgate/T3S2-19	Subwoofer	19	483	88.9	27.0	1.92	0.37	0.31	34.0	3000	6000	2	1.7	0.96	1472.0	1022	984.6	34	103.4	90.3
SB Acoustics	MR13P-4	loudspeakerdatabase.com/SB/MR13P-4	Mid-range	5	127	89.1	41.0	2.80	0.25	0.23	3.0	30	60	4	3.3	0.11	70.0	5.4	4.9	2790	19.4	0.5
SB Acoustics	MR13P-8	loudspeakerdatabase.com/SB/MR13P-8	Mid-range	5	127	88.5	45.0	4.25	0.33	0.31	3.0	30	60	8	6.8	0.11	70.0	6	5.5	1860	12.5	0.4
SB Acoustics	MR13PNW-4	loudspeakerdatabase.com/SB/MR13PNW-4	Mid-range	5	127	89.1	41.0	2.80	0.25	0.23	3.0	30	60	4	3.3	0.11	70.0	5.4	4.9	2790	19.4	0.5
SB Acoustics	MR13PNW-8	loudspeakerdatabase.com/SB/MR13PNW-8	Mid-range	5	127	88.3	47.0	4.58	0.32	0.30	3.0	30	60	8	6.8	0.11	70.0	6.2	5.7	1850	12.9	0.4
SB Acoustics	MR16P-4	loudspeakerdatabase.com/SB/MR16P-4	Mid-range	6.5	165	89.2	31.0	4.85	0.26	0.25	3.1	40	80	4	3.2	0.11	119.0	11.2	10.2	2350	47.2	0.45
SB Acoustics	MR16P-8	loudspeakerdatabase.com/SB/MR16P-8	Mid-range	6.5	165	89.3	32.0	5.11	0.32	0.30	3.1	30	60	8	6.2	0.11	119.0	10.6	9.6	2300	44.3	0.4
SB Acoustics	MR16PNW-4	loudspeakerdatabase.com/SB/MR16PNW-4	Mid-range	6.5	165	89.2	31.0	4.85	0.26	0.25	3.1	40	80	4	3.2	0.11	119.0	11.2	10.2	2350	47.2	0.45
SB Acoustics	MR16PNW-8	loudspeakerdatabase.com/SB/MR16PNW-8	Mid-range	6.5	165	89.3	32.0	5.11	0.32	0.30	3.1	30	60	8	6.2	0.11	119.0	10.6	9.6	2300	44.3	0.4
SB Acoustics	MW13P-4	loudspeakerdatabase.com/SB/MW13P-4	Mid Bass	5	127	86.8	41.0	3.84	0.33	0.31	5.0	40	80	8	6.0	0.13	70.0	7	6.5	2220	15	0.5
SB Acoustics	MW13P-8	loudspeakerdatabase.com/SB/MW13P-8	Mid Bass	5	127	87.0	41.5	3.55	0.33	0.30	5.0	40	80	8	6.0	0.15	70.0	6.8	6.3	2160	15	0.5
SB Acoustics	MW13PNW-4	loudspeakerdatabase.com/SB/MW13PNW-4	Mid Bass	5	127	87.1	41.0	3.71	0.29	0.27	5.0	40	80	4	3.8	0.13	70.0	7.2	6.7	2090	14.6	0.5
SB Acoustics	MW13PNW-8	loudspeakerdatabase.com/SB/MW13PNW-8	Mid Bass	5	127	86.8	41.0	3.84	0.33	0.31	5.0	40	80	8	6.0	0.13	70.0	7	6.5	2220	15	0.5
SB Acoustics	MW16P-4	loudspeakerdatabase.com/SB/MW16P-4	Mid Bass	6.5	165	87.5	28.0	5.00	0.28	0.27	6.0	60	120	4	3.4	0.2	119.0	12.8	11.8	2500	50.2	0.45
SB Acoustics	MW16P-8	loudspeakerdatabase.com/SB/MW16P-8	Mid Bass	6.5	165	87.1	29.0	4.50	0.35	0.33	6.0	60	120	8	6.2	0.2	119.0	12.4	11.4	2400	48	0.5
SB Acoustics	MW16PNW-4	loudspeakerdatabase.com/SB/MW16PNW-4	Mid Bass	6.5	165	87.6	28.0	4.50	0.29	0.27	6.0	60	120	4	3.4	0.2	119.0	12.2	11.2	2620	51.8	0.5
SB Acoustics	MW16PNW-8	loudspeakerdatabase.com/SB/MW16PNW-8	Mid Bass	6.5	165	87.3	29.0	4.72	0.34	0.32	6.0	60	120	8	6.2	0.2	119.0	12.1	11.1	2530	49.9	0.5
SB Acoustics	MW19P-4	loudspeakerdatabase.com/SB/MW19P-4	Mid Bass	7.5	191	89.0	32.0	4.11	0.30	0.28	6.8	70	140	4	3.4	0.14	158.0	18.4	16.9	1350	48	0.9
SB Acoustics	MW19P-8	loudspeakerdatabase.com/SB/MW19P-8	Mid Bass	7.5	191	88.5	32.5	4.06	0.36	0.33	6.7	70	140	8	6.0	0.2	158.0	17.9	16.4	1350	48	0.9
SB Acoustics	MW19PNW-4	loudspeakerdatabase.com/SB/MW19PNW-4	Mid Bass	7.5	191	89.8	32.0	4.02	0.22	0.21	6.8	70	140	4	3.4	0.14	158.0	16.7	15.2	2220	78.1	0.7
SB Acoustics	MW19PNW-8	loudspeakerdatabase.com/SB/MW19PNW-8	Mid Bass	7.5	191	89.0	32.5	4.41	0.29	0.27	6.7	70	140	8	6.0	0.2	158.0	16.3	14.8	2170	76.1	0.6
SB Acoustics	SB10PGC21-4	loudspeakerdatabase.com/SB/SB10PGC21-4	Full-range	3	76	81.9	89.0	11.20	1.01	0.92	2.25	20	40	4	3.4	0.15	27.0	2.8	2.7	1140	1.2	0.14
SB Acoustics	SB12CACS25-4	loudspeakerdatabase.com/SB/SB12CACS25-4	Mid Bass	4	102	85.4	51.0	4.89	0.33	0.31	5.0	30	60	4	3.1	0.26	50.0	6.1	5.8	1600	5.7	0.4
SB Acoustics	SB12CACS25-8	loudspeakerdatabase.com/SB/SB12CACS25-8	Mid Bass	4	102	85.1	51.0	4.85	0.40	0.37	5.0	30	60	8	6.4	0.34	50.0	5.3	5	1840	6.5	0.35
SB Acoustics	SB12MNRX25-4	loudspeakerdatabase.com/SB/SB12MNRX25-4	Mid-range	4	102	85.8	58.0	3.60	0.42	0.37	2.25	50	100	4	3.2	0.14	50.0	4.9	4.6	1550	5.5	0.5
SB Acoustics	SB12NRX25-4	loudspeakerdatabase.com/SB/SB12NRX25-4	Mid Bass	4	102	84.5	55.0	3.20	0.46	0.40	5.0	30	60	4	3.1	0.14	50.0	5.6	5.3	1570	5.6	0.6
SB Acoustics	SB12NRX25-8	loudspeakerdatabase.com/SB/SB12NRX25-8	Mid Bass	4	102	85.6	57.0	4.10	0.41	0.37	5.0	30	60	8	6.4	0.34	50.0	5.2	4.9	1490	5.3	0.45
